Video_Origen	ID_Video	Usuario	Comentario	Likes	Hace cuanto tiempo
https://www.youtube.com/watch?v=1riA11y67vc	1riA11y67vc	@jsonreviewing110	"Hola!

Cómo tal, no sómos una academia de LESCO, solo compartimos diferentes temas y clases que podrían ser de interés. 

Existe una página, www.yopuedoaprenderlesco.com en la que puedes practicar, tambien, si lo que deseas es una clase impartida por Rebe (que por cierto es muy buena enseñando), escríbeme a mi e-mail: jsonsg2@gmail. com y te paso el contacto de ella.

Gracias y mucha suerte! 💕"	0	3 years ago (edited)
https://www.youtube.com/watch?v=1riA11y67vc	1riA11y67vc	@jsonreviewing110	Gracias a ti!	0	3 years ago
https://www.youtube.com/watch?v=1riA11y67vc	1riA11y67vc	@jsonreviewing110	"Quiza por el angúlo de grabación no se percibe mucho.

Ahora y Presente comparten la misma seña. Pero, ""Presente"" se mueve dos veces de arríba hacia abajo y ""Ahora"" solo 1.

Me disculpo porque en el momento de la grabación, la camára se mueve un poco y da la impresión de mover las manos, pero ""Ahora"" solo se mueve 1 vez. 

Gracias por consultar! Avísame si tienes más dudas."	6	3 years ago
https://www.youtube.com/watch?v=1riA11y67vc	1riA11y67vc	@josue2292	" @jsonreviewing110 1:12 Buenas, creo que, no es correcto el ""Ahora"". Yo logro ver que se mueve tres veces de arriba hacia abajo. (No estoy seguro si me equivoco)"	1	1 year ago (edited)
https://www.youtube.com/watch?v=1wzRCIzmX_o	1wzRCIzmX_o	@peterjeanguerrero305	"Me encanta un 100
Saludes Xinia Berrocal"	0	3 years ago
https://www.youtube.com/watch?v=1wzRCIzmX_o	1wzRCIzmX_o	@rosibelllimas7235	Yyyu	0	3 years ago
https://www.youtube.com/watch?v=1wzRCIzmX_o	1wzRCIzmX_o	@rosirisarayalopez488	"Me gusta mucho, es que le estoy enseñando a mi hija porque ella habla muy poco pero todo lo entiende  y por muchas cosas que ella tiene tiene retardo mental y de lenguaje, y por el lenguaje de señas ella como que aprende más rápido.

Quería preguntarles cómo se dice dorado en señas, los colores casi todos se los sabe pero nos topamos con dorado y no sé."	0	4 years ago
https://www.youtube.com/watch?v=1wzRCIzmX_o	1wzRCIzmX_o	@hellenquirosviquez4172	excelentes son	0	5 years ago
https://www.youtube.com/watch?v=1wzRCIzmX_o	1wzRCIzmX_o	@tatyzu2241	Me encanta como explican, se entiende súper bien !!! exelente	1	5 years ago
https://www.youtube.com/watch?v=1wzRCIzmX_o	1wzRCIzmX_o	@andrespiu88	Hasta que le di al clavo. Siempre he querido aprender y ustedes son buenas maestras	2	6 years ago
https://www.youtube.com/watch?v=1wzRCIzmX_o	1wzRCIzmX_o	@monserratperezvargas3846	"Excelente iniciativa ❤ 
Facilita mucho el aprendizaje de este lenguaje!"	0	6 years ago
https://www.youtube.com/watch?v=1wzRCIzmX_o	1wzRCIzmX_o	@flywesth9236	Excelente video!	1	6 years ago
https://www.youtube.com/watch?v=1wzRCIzmX_o	1wzRCIzmX_o	@aprendiendolescoicapsa4979	Muchas gracias Andrés.	0	6 years ago
https://www.youtube.com/watch?v=1wzRCIzmX_o	1wzRCIzmX_o	@aprendiendolescoicapsa4979	hey muchas gracias por su comentario.	1	6 years ago
https://www.youtube.com/watch?v=1wzRCIzmX_o	1wzRCIzmX_o	@aprendiendolescoicapsa4979	Muchas gracias por su comentario.	2	6 years ago
https://www.youtube.com/watch?v=22ovpK3pZmI	22ovpK3pZmI	@dayanabarrantes625	Hola, tengo una duda con abril y con octubre, veo otros vídeos y dicen diferentes esos meses.	0	2 years ago
https://www.youtube.com/watch?v=22ovpK3pZmI	22ovpK3pZmI	@edgardomendezvargas6630	👏👏👏👏👏👏	1	3 years ago
https://www.youtube.com/watch?v=22ovpK3pZmI	22ovpK3pZmI	@jsonreviewing110	"Hola!

Mucho depende de dónde son los vídeos.
Algunos son vídeos de otros países, que aunque la variación sea miníma, la hay.

Rebeca estudío LESCO acá en Costa Rica y al ser persona no oyente, este es su medio de comunicación. Ella nos enseñó el detalle de las señas en diferentes países y cómo podían ser variadas, a la vez que tambien, Octubre tiene un pár de señas en el LESCO de Costa Rica."	1	2 years ago
https://www.youtube.com/watch?v=22ovpK3pZmI	22ovpK3pZmI	@dayanabarrantes625	Gracias, yo estoy estudiando LESCO, lenguaje de señas costarricense y esas dos señas me las enseñaron diferente por eso me queda la duda.	1	2 years ago
https://www.youtube.com/watch?v=22ovpK3pZmI	22ovpK3pZmI	@wendyalvarado2617	A mi igual me enseñaron diferente Febrero, octubre y diciembre. En los videos podrían hacer la variación de la Seña en Lesco si existiera otra. Para la aclaración.	0	2 years ago
https://www.youtube.com/watch?v=22ovpK3pZmI	22ovpK3pZmI	@jsonreviewing110	Gracias!! Comparte los videos con amigos y familiares, para que todos aprendamos un poquito cada día!	1	3 years ago
https://www.youtube.com/watch?v=2BZD7yM9aLE	2BZD7yM9aLE	@alfonsovillalobos5852	Profe...gracias por todas sus enseñanzas y dedicación!!!	0	4 days ago
https://www.youtube.com/watch?v=3CcpQFkQ1X8	3CcpQFkQ1X8	@daysimorales8513	Buen video😇	2	5 years ago
https://www.youtube.com/watch?v=3CcpQFkQ1X8	3CcpQFkQ1X8	@nikolbarboza8180	La chica se parece a mí profe,buen video	2	6 years ago
https://www.youtube.com/watch?v=3CcpQFkQ1X8	3CcpQFkQ1X8	@donogames3960	Buen video profe	2	6 years ago
https://www.youtube.com/watch?v=3WvYkTHM3wc	3WvYkTHM3wc	@josea5367	Gracias. Buen contenidos	1	1 year ago
https://www.youtube.com/watch?v=3jHHuemHwR0	3jHHuemHwR0	@jeancarloporras4143	Trabajo en un hospital y va a ser de mucha ayuda esta información.  Gracias.	2	2 years ago
https://www.youtube.com/watch?v=3jHHuemHwR0	3jHHuemHwR0	@FabioJimenez-q1x	Muy útil, excelente trabajo.	1	2 years ago
https://www.youtube.com/watch?v=3jHHuemHwR0	3jHHuemHwR0	@mariagabrielabrenesacuna4361	Muchas gracias 💕 esta exelente	0	2 years ago
https://www.youtube.com/watch?v=3jHHuemHwR0	3jHHuemHwR0	@jsonreviewing110	A la orden 🥰🥰🥰	0	2 years ago
https://www.youtube.com/watch?v=4XUwEGDkGNk	4XUwEGDkGNk	@ModestaPerez-p1f	Muy bueno	0	3 months ago
https://www.youtube.com/watch?v=4XUwEGDkGNk	4XUwEGDkGNk	@esmildarostran1811	Buenísimo Gracias Jessy	0	3 years ago
https://www.youtube.com/watch?v=4XUwEGDkGNk	4XUwEGDkGNk	@Jessygonzalezt	Gracias por el apoyo ;)	0	3 years ago
https://www.youtube.com/watch?v=59Hf8BK_qh8	59Hf8BK_qh8	@MarisolEspinoza-pm2ih	Motivar  es así	1	2 years ago
https://www.youtube.com/watch?v=59Hf8BK_qh8	59Hf8BK_qh8	@celestearce965	Yo ya estudie la clase 1 y 2	0	3 years ago
https://www.youtube.com/watch?v=59Hf8BK_qh8	59Hf8BK_qh8	@celestearce965	Hola buenas tardes una pregunta ustedes son de costa rica	1	3 years ago
https://www.youtube.com/watch?v=59Hf8BK_qh8	59Hf8BK_qh8	@FabioJimenez-q1x	Excelente, muy util, muchas gracias.	0	3 years ago
https://www.youtube.com/watch?v=59Hf8BK_qh8	59Hf8BK_qh8	@jsonreviewing110	Hola! Sí, somos de Costa Rica.	0	3 years ago
https://www.youtube.com/watch?v=59Hf8BK_qh8	59Hf8BK_qh8	@jsonreviewing110	Gracias, si tienes alguna sugerencia de tema, las recibimos con gusto	0	3 years ago
https://www.youtube.com/watch?v=59Hf8BK_qh8	59Hf8BK_qh8	@FabioJimenez-q1x	"Me gustaria un video de ""proformas"""	0	3 years ago
https://www.youtube.com/watch?v=5HQir7vo8Sw	5HQir7vo8Sw	@MATRIX96958	Me encanta estooooo aprendo mucho señas	2	2 years ago (edited)
https://www.youtube.com/watch?v=5HQir7vo8Sw	5HQir7vo8Sw	@francisalfaro8635	❤️ Muy buen canal, es uno d ellos más completos. Necesitamos por favor 🙏🏻 videos con vocabulario empresarial. Ejm: capacitar, programas, técnicas, métodos, etc … en ningún lugar están 😭	0	2 years ago
https://www.youtube.com/watch?v=5HQir7vo8Sw	5HQir7vo8Sw	@FabioJimenez-q1x	Muy bueno, gracias!!	0	2 years ago
